,ID_HECHO,NUM_VICTIMAS,FECHA,AÑO,MES,DÍA,HORA,HH,TIPO_DE_CALLE,CALLE,COMUNA,POS X,POS Y,VICTIMA,ACUSADO
112,2016-0143,1,11/6/2016,2016,11,6,4:41:00,4,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,MOTO,AUTO
113,2016-0144,1,11/7/2016,2016,11,7,12:10:00,12,AVENIDA,"BROWN, ALTE. AV.",4,-58.35975012,-34.63343907,PEATON,PASAJEROS
114,2016-0145,1,11/7/2016,2016,11,7,20:56:00,20,AVENIDA,DEL LIBERTADOR AV.,13,-58.44523595,-34.55953855,MOTO,AUTO
115,2016-0146,1,11/9/2016,2016,11,9,20:00:00,20,AVENIDA,PICHINCHA AV.,4,-58.39626094,-34.63036565,PEATON,PASAJEROS
116,2016-0147,1,11/16/2016,2016,11,16,21:15:00,21,AVENIDA,INDEPENDENCIA AV.,1,-58.38896772,-34.61799615,AUTO,PASAJEROS
117,2016-0148,1,11/16/2016,2016,11,16,22:20:00,22,AVENIDA,GARMENDIA AV.,15,-58.46536113,-34.59484504,MOTO,MOTO
118,2016-0150,1,11/18/2016,2016,11,18,18:20:00,18,AVENIDA,"ALCORTA, AMANCIO AV.",4,-58.40879146,-34.65273216,CARGAS,CARGAS
119,2016-0152,1,11/23/2016,2016,11,23,21:10:00,21,AVENIDA,"MORENO, PERITO AV.",7,-58.46451841,-34.64991946,MOTO,AUTO
120,2016-0153,1,11/25/2016,2016,11,25,15:42:00,15,AVENIDA,ARAOZ,15,-58.4291709,-34.59485488,PEATON,MOTO
121,2016-0154,1,11/26/2016,2016,11,26,14:14:00,14,GRAL PAZ,"PAZ, GRAL. AV.",8,-58.49007772,-34.68251141,MOTO,MOTO
122,2016-0155,1,11/26/2016,2016,11,26,16:50:00,16,CALLE,MADERO,10,-58.52756365,-34.62772274,PEATON,AUTO
123,2016-0156,1,11/26/2016,2016,11,26,19:40:00,19,AVENIDA,INDEPENDENCIA AV.,3,-58.40638983,-34.61943202,MOTO,PASAJEROS
124,2016-0157,1,12/3/2016,2016,12,3,6:40:00,6,AVENIDA,"JUSTO, JUAN B. AV.",11,-58.47576807,-34.61740997,MOTO,MOTO
125,2016-0159,1,12/4/2016,2016,12,4,7:21:00,7,AVENIDA,27 DE FEBRERO AV.,8,-58.44451316,-34.68475866,AUTO,AUTO
126,2016-0160,1,12/6/2016,2016,12,6,5:30:00,5,AUTOPISTA,AUTOPISTA PERITO MORENO,9,-58.51927194,-34.63635787,CARGAS,OBJETO FIJO
127,2016-0161,1,12/6/2016,2016,12,6,7:22:00,7,AVENIDA,SANTA FE AV.,14,-58.42525456,-34.57866344,PEATON,PASAJEROS
128,2016-0162,1,12/7/2016,2016,12,7,5:00:00,5,AVENIDA,"LACROZE, FEDERICO AV.",15,-58.45396573,-34.58518167,PEATON,AUTO
129,2016-0163,1,12/10/2016,2016,12,10,7:30:00,7,GRAL PAZ,"PAZ, GRAL. AV.",11,-58.52340614,-34.59798754,MOTO,AUTO
130,2016-0164,1,12/11/2016,2016,12,11,6:16:00,6,AVENIDA,LA PLATA AV.,4,-58.42323628,-34.64119105,AUTO,AUTO
131,2016-0165,1,12/12/2016,2016,12,12,8:25:00,8,AVENIDA,"GARCIA, MARTIN AV.",4,-58.36926144,-34.62841919,BICICLETA,PASAJEROS
132,2016-0168,1,12/13/2016,2016,12,13,10:40:00,10,AVENIDA,LA PLATA AV.,4,-58.42323628,-34.64119105,MOTO,AUTO
133,2016-0169,1,12/15/2016,2016,12,15,15:30:00,15,AVENIDA,NU?EZ,12,-58.47935434,-34.55676497,MOTO,PASAJEROS
134,2016-0170,1,12/19/2016,2016,12,19,17:10:00,17,GRAL PAZ,"PAZ, GRAL. AV.",12,-58.50598256,-34.5637998,MOTO,AUTO
135,2016-0171,1,12/25/2016,2016,12,25,19:00:00,19,AUTOPISTA,"HUERGO, ING. AV.",1,-58.36607137,-34.62150748,MOTO,MOTO
